code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-12;12;1976; 41 CENTRAL; 2TO DESPACHO;A12;W2742C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 2 Q: 12;1;Si;;;;;;;
1976-13;13;1976; 41 CENTRAL; 2TO DESPACHO;A13;W3342C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;20;PIEZA: # 1 Q: 20;1;Si;;;;;;;
1976-14;14;1976; 41 CENTRAL; 2TO DESPACHO;A14;W3342C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;14;PIEZA: # 2 Q: 14;1;Si;;;;;;;
1976-15;15;1976; 41 CENTRAL; 2TO DESPACHO;A15;VT1879_5SC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2019X533;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;3;PIEZA: # 1 Q: 3;1;Si;;;;;;;
1976-16;16;1976; 41 CENTRAL; 2TO DESPACHO;A16;VT1879_5SC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2019X533;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 2 Q: 4;1;Si;;;;;;;
1976-17;17;1976; 41 CENTRAL; 2TO DESPACHO;A17;T1891_5LC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 1 Q: 12;1;Si;;;;;;;
1976-18;18;1976; 41 CENTRAL; 2TO DESPACHO;A18;T1891_5LC_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;36;PIEZA: # 1 Q: 36;1;Si;;;;;;;
1976-19;19;1976; 41 CENTRAL; 2TO DESPACHO;A19;T1891_5LC_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;36;PIEZA: # 2 Q: 36;1;Si;;;;;;;
1976-20;20;1976; 41 CENTRAL; 2TO DESPACHO;A20;T1891_5LC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;18;PIEZA: # 2 Q: 18;1;Si;;;;;;;
1976-21;21;1976; 41 CENTRAL; 2TO DESPACHO;A21;T2191_5LC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_2324X610;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;10;PIEZA: # 1 Q: 10;1;Si;;;;;;;
